1.00E+08,5.68E+01,1.03E+00
1.26E+08,5.28E+01,9.22E-01
1.58E+08,4.96E+01,8.19E-01
2.00E+08,4.71E+01,7.21E-01
2.51E+08,4.51E+01,6.30E-01
3.16E+08,4.34E+01,5.48E-01
3.98E+08,4.21E+01,4.76E-01
5.01E+08,4.10E+01,4.15E-01
6.31E+08,4.01E+01,3.64E-01
7.94E+08,3.93E+01,3.22E-01
1.00E+09,3.86E+01,2.90E-01
1.26E+09,3.79E+01,2.66E-01
1.58E+09,3.73E+01,2.51E-01
2.00E+09,3.67E+01,2.45E-01
2.51E+09,3.61E+01,2.47E-01
3.16E+09,3.54E+01,2.58E-01
3.98E+09,3.45E+01,2.78E-01
5.01E+09,3.34E+01,3.08E-01
6.31E+09,3.21E+01,3.48E-01
7.94E+09,3.04E+01,3.99E-01
1.00E+10,2.84E+01,4.62E-01
