   1.0000e+8,   5.6903e+0,   9.4644e-1,
   1.2589e+8,   5.6479e+0,   7.6528e-1,
   1.5849e+8,   5.6133e+0,   6.1968e-1,
   1.9953e+8,   5.5844e+0,   5.0336e-1,
   2.5119e+8,   5.5594e+0,   4.1111e-1,
   3.1623e+8,   5.5368e+0,   3.3867e-1,
   3.9811e+8,   5.5153e+0,   2.8260e-1,
   5.0119e+8,   5.4934e+0,   2.4015e-1,
   6.3096e+8,   5.4696e+0,   2.0918e-1,
   7.9433e+8,   5.4419e+0,   1.8807e-1,
   1.0000e+9,   5.4079e+0,   1.7558e-1,
   1.2589e+9,   5.3645e+0,   1.7084e-1,
   1.5849e+9,   5.3079e+0,   1.7320e-1,
   1.9953e+9,   5.2332e+0,   1.8217e-1,
   2.5119e+9,   5.1347e+0,   1.9727e-1,
   3.1623e+9,   5.0063e+0,   2.1789e-1,
   3.9811e+9,   4.8431e+0,   2.4302e-1,
   5.0119e+9,   4.6428e+0,   2.7104e-1,
   6.3096e+9,   4.4083e+0,   2.9952e-1,
   7.9433e+9,   4.1491e+0,   3.2519e-1,
  1.0000e+10,   3.8804e+0,   3.4436e-1,
