   1.0000e+8,   6.8805e+1,   2.0751e+0,
   1.2589e+8,   6.6906e+1,   1.7147e+0,
   1.5849e+8,   6.5374e+1,   1.4115e+0,
   1.9953e+8,   6.4130e+1,   1.1592e+0,
   2.5119e+8,   6.3111e+1,   9.5103e-1,
   3.1623e+8,   6.2269e+1,   7.8086e-1,
   3.9811e+8,   6.1562e+1,   6.4299e-1,
   5.0119e+8,   6.0958e+1,   5.3245e-1,
   6.3096e+8,   6.0426e+1,   4.4502e-1,
   7.9433e+8,   5.9939e+1,   3.7717e-1,
   1.0000e+9,   5.9470e+1,   3.2608e-1,
   1.2589e+9,   5.8990e+1,   2.8952e-1,
   1.5849e+9,   5.8465e+1,   2.6582e-1,
   1.9953e+9,   5.7856e+1,   2.5383e-1,
   2.5119e+9,   5.7111e+1,   2.5282e-1,
   3.1623e+9,   5.6165e+1,   2.6251e-1,
   3.9811e+9,   5.4935e+1,   2.8296e-1,
   5.0119e+9,   5.3323e+1,   3.1455e-1,
   6.3096e+9,   5.1219e+1,   3.5790e-1,
   7.9433e+9,   4.8518e+1,   4.1381e-1,
  1.0000e+10,   4.5150e+1,   4.8301e-1,
